Name,LTP,Change(%),Open,Volume,Market Cap (Cr.),PE Ratio,Industry PE,52W High,52W Low,1M Returns,3M Returns,1 Yr Returns,3 Yr Returns,5 Yr Returns,PB Ratio,Dividend,ROE,ROCE,EPS,50 DMA,200 DMA,RSI,,,,,,,,,,,,,,,,,,,,
Aditya Vision,387.8,-1.92%,397.35,"2,20,023","4,989.55",48.23,35.81,546.6,368,-7.22%,-8.86%,-12.51%,-12.51%,-12.51%,8.72,0.28%,-,21.85%,-,422.34,-,40.19,,,,,,,,,,,,,,,,,,,,
Ador Welding,"1,029.55",-0.36%,"1,025.05","9,242","1,791.71",26.48,29.24,"1,489.00",788,14.91%,12.98%,-28.03%,60.02%,311.49%,3.55,1.93%,16.01%,21.44%,36.6,922.96,"1,092.68",70.86,,,,,,,,,,,,,,,,,,,,
Adroit Infotech,11.71,2.54%,11.5,"1,24,571",63.44,19.57,41.34,30.4,10.16,6.45%,-20.72%,-38.91%,39.40%,151.29%,0.82,-,-,9.77%,-,11.57,17.21,45.85,,,,,,,,,,,,,,,,,,,,
Advanced Enzyme Tech,325.3,-2.24%,333.25,"2,34,991","3,639.48",28.37,43.06,571,257.9,9.69%,21.56%,-10.13%,11.79%,90.62%,2.62,1.56%,9.99%,13.35%,13.3,292.17,365.58,70.94,,,,,,,,,,,,,,,,,,,,
Advani Hotels & Resorts,62.73,-0.90%,63.3,"27,680",579.87,22.17,43.96,86.99,52.29,5.86%,1.32%,-12.50%,85.87%,148.14%,7.2,3.00%,45.60%,42.76%,2.7,60.45,65.96,60.14,,,,,,,,,,,,,,,,,,,,
Aegis Logistics,803.7,0.15%,804.35,"2,93,917","28,209.87",48.73,35.81,"1,037.00",609.85,-1.67%,9.24%,4.80%,13.93%,13.93%,6.84,0.81%,15.07%,13.90%,16.66,806.31,784.11,47.28,,,,,,,,,,,,,,,,,,,,
Aegis Vopak Terminals,242.36,-3.72%,248,"9,58,281","26,853.28",321.67,35.52,268.5,220,0.15%,0.15%,0.15%,0.15%,0.15%,6.66,0.12%,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
Aeroflex Industries,175.27,1.03%,174.5,"15,11,933","2,266.60",42.7,32.88,272,141.9,7.61%,6.97%,22.18%,7.36%,7.36%,6.55,0.17%,14.24%,20.20%,3.34,168.87,190.34,45.5,,,,,,,,,,,,,,,,,,,,
Aeron Composite,135,-0.07%,135.1,"30,000",229.77,17.23,30.71,202.2,112.7,-7.72%,11.43%,-14.29%,-14.29%,-14.29%,2.28,-,-,37.42%,-,135.94,-,48.02,,,,,,,,,,,,,,,,,,,,
Aesthetik Engineers,131.3,5.00%,131.3,"44,000",226.1,38.13,27.46,127.5,60,62.60%,91.96%,13.48%,13.48%,13.48%,4.84,-,-,37.32%,-,85.56,78.27,84.87,,,,,,,,,,,,,,,,,,,,
Aether Industries,790.25,-0.95%,800,"1,54,909","10,477.94",63.26,36.4,"1,071.00",725,-1.94%,-12.98%,-3.69%,0.17%,2.05%,4.75,-,10.48%,5.59%,6.95,791.71,852.89,58.27,,,,,,,,,,,,,,,,,,,,
Afcons Infrastructure,446.05,-0.38%,448.2,"11,05,316","16,405.03",33.8,27.46,570,398,3.56%,-3.15%,-5.94%,-5.94%,-5.94%,3.13,0.52%,-,19.68%,-,439.74,-,55.62,,,,,,,,,,,,,,,,,,,,
Affle 3i,"1,899.40",-1.16%,"1,922.50","2,76,402","26,685.87",70.68,41.34,"1,985.00","1,211.00",19.68%,31.27%,50.19%,93.53%,548.66%,9.16,-,16.73%,13.09%,22.65,"1,643.44","1,604.64",78.07,,,,,,,,,,,,,,,,,,,,
Affordable Robotic & Automation,465,1.64%,462.1,"32,428",522.95,43.21,39.32,788.5,350,21.38%,12.39%,-36.41%,-36.41%,-36.41%,5.11,-,-,9.28%,-,401.15,-,60.3,,,,,,,,,,,,,,,,,,,,
AG Universal,46,-,-,-,25.23,18.55,35.81,71.1,37.3,19.17%,1.10%,-6.88%,9.52%,9.52%,1.34,-,17.13%,13.61%,3.5,46.54,55.54,53.51,,,,,,,,,,,,,,,,,,,,
Agarwal Float Glass,52.8,-0.19%,52.8,"1,500",38.25,12.48,35.81,103.95,42.05,12.34%,20.00%,7.32%,19.86%,19.86%,2.07,-,-,8.75%,-,48.39,70.97,65.48,,,,,,,,,,,,,,,,,,,,
Agarwal Industrial Corporation,977.95,-2.52%,"1,007.20","20,729","1,462.80",12.99,25.39,"1,380.00",837.3,-2.75%,0.83%,-9.13%,100.93%,1356.37%,2.4,-,22.85%,21.35%,80.66,994.91,"1,094.04",50.68,,,,,,,,,,,,,,,,,,,,
