Name,LTP,Change(%),Open,Volume,Market Cap (Cr.),PE Ratio,Industry PE,52W High,52W Low,1M Returns,3M Returns,1 Yr Returns,3 Yr Returns,5 Yr Returns,PB Ratio,Dividend,ROE,ROCE,EPS,50 DMA,200 DMA,RSI,,,,,,,,,,,,,,,,,,,,
Sagility India,39.5,-1.52%,40.29,"1,65,72,918","18,491.25",34.89,41.34,56.4,27.02,-7.86%,-4.91%,34.72%,34.72%,34.72%,2.25,-,-,4.63%,-,41.7,-,47.46,,,,,,,,,,,,,,,,,,,,
Sah Polymers,110,-,110,"90,348",283.76,-,24.63,120,67,18.17%,30.70%,17.61%,23.25%,23.25%,3.09,-,-,4.80%,-,92.14,89.3,66.85,,,,,,,,,,,,,,,,,,,,
Sahaj Fashions,10.95,-,11.15,-,14.42,15.21,35.08,24,6.95,14.06%,17.74%,-46.84%,-63.92%,-63.92%,0.43,-,-,11.75%,-,9.24,15.54,66.83,,,,,,,,,,,,,,,,,,,,
Sahaj Solar,262.65,-2.00%,262.65,"13,200",577.1,21.37,44.35,790,194,13.55%,-33.36%,-26.86%,-26.86%,-26.86%,5.42,-,-,62.86%,-,253.58,263.09,55.69,,,,,,,,,,,,,,,,,,,,
Sahana System,"1,580.00",-1.49%,"1,600.00","28,125","1,396.26",39.97,41.34,"2,135.00",990.85,8.36%,39.14%,-5.41%,953.33%,953.33%,8.05,-,-,41.17%,-,"1,481.13","1,475.24",55.54,,,,,,,,,,,,,,,,,,,,
Sahasra Electronic Solutions,286,-0.17%,288,"36,400",714.79,25.92,67.22,"1,013.00",266.3,-15.88%,-6.40%,-49.34%,-49.34%,-49.34%,3.24,-,-,58.14%,-,326.2,-,41,,,,,,,,,,,,,,,,,,,,
Sahyadri Industries,307.65,-2.07%,317.6,"8,648",336.76,17.63,23.37,450,211,13.07%,25.55%,-29.40%,-14.81%,-14.81%,0.91,0.32%,7.32%,11.64%,21.69,272.05,301.5,71.13,,,,,,,,,,,,,,,,,,,,
Sai Life Sciences,752.45,-2.26%,774.85,"8,32,774","15,658.44",94.47,47.58,808.8,636.1,5.38%,7.67%,-1.60%,-1.60%,-1.60%,7.55,-,-,12.71%,-,725.19,-,59.02,,,,,,,,,,,,,,,,,,,,
Sai Silks (Kalamandir),137.68,-2.57%,141.3,"2,87,157","2,111.54",67.87,35.81,203.5,113,14.32%,6.96%,-23.89%,-43.78%,-43.78%,2.38,-,24.56%,14.46%,3.55,125.96,156.18,70.4,,,,,,,,,,,,,,,,,,,,
Saj Hotels,67,-1.47%,67.8,"20,000",108.04,27.98,43.96,86.5,40.1,-7.65%,-6.94%,27.74%,27.74%,27.74%,2.43,-,-,5.13%,-,70.86,-,40.53,,,,,,,,,,,,,,,,,,,,
Sakar Healthcare,313,-1.37%,319.3,"15,721",687.03,39.72,43.06,374.5,210.1,2.64%,29.64%,-4.44%,93.21%,506.00%,2.44,-,7.36%,7.13%,5.17,289.4,293.08,57.11,,,,,,,,,,,,,,,,,,,,
Saksoft,202.4,-2.35%,208.9,"2,42,822","2,682.84",25.24,41.34,319.5,125.03,20.52%,31.10%,-2.96%,190.10%,1285.35%,4.43,0.37%,19.03%,23.09%,9.11,170.71,205.43,67.49,,,,,,,,,,,,,,,,,,,,
Sakthi Sugars,27.26,-2.75%,28.5,"1,55,403",323.98,8.81,20.08,45,19,20.78%,28.34%,-24.88%,68.79%,142.31%,1.68,-,-68.54%,-13.06%,-,23.95,29.83,70.76,,,,,,,,,,,,,,,,,,,,
Sakuma Exports,3.46,-,3.56,"31,46,942",542.43,39.22,35.81,10.3,2.35,7.79%,19.72%,-42.43%,11.97%,118.99%,0.78,-,-,10.40%,-,3.03,3.87,61.56,,,,,,,,,,,,,,,,,,,,
SAL Steel,17.94,-0.66%,18.01,"63,050",152.43,29.26,18.51,31.18,15.7,1.76%,-3.86%,-12.14%,109.82%,617.60%,3.99,-,-,7.13%,-,18.5,22.13,48.5,,,,,,,,,,,,,,,,,,,,
Salasar Exteriors & Contour,6.8,4.62%,6.5,"12,500",70,92.86,27.46,31,5.45,-7.48%,-37.61%,-62.94%,-92.82%,-77.89%,5.25,-,-,0.47%,-,9.23,17.75,28.74,,,,,,,,,,,,,,,,,,,,
Salasar Techno Engineering,8.68,-2.25%,8.95,"1,01,52,144","1,498.84",63.5,32.88,23.28,7.8,0.35%,3.83%,-56.49%,81.59%,668.14%,1.95,-,10.04%,23.03%,0.31,8.98,13.52,47.42,,,,,,,,,,,,,,,,,,,,
Salona Cotspin,254.45,-1.53%,255.15,"2,904",133.9,42.74,23.14,344.9,215,4.45%,5.50%,-15.32%,12.17%,347.98%,1.62,0.39%,23.68%,14.42%,12.06,251.84,273.33,50.9,,,,,,,,,,,,,,,,,,,,
Salzer Electronics,926.65,-2.26%,952.8,"1,42,114","1,638.57",36.47,44.35,"1,649.95",800,-5.49%,10.09%,13.52%,411.40%,1057.59%,3.08,0.26%,9.59%,18.90%,28.44,"1,004.28","1,090.84",43.9,,,,,,,,,,,,,,,,,,,,
Sambhaav Media,7.13,1.28%,7.04,"67,259",136.26,175.75,22.16,9.45,4.41,13.90%,18.44%,47.62%,103.71%,224.09%,1.61,-,-,3.72%,-,6.64,6.55,55.35,,,,,,,,,,,,,,,,,,,,
Sameera Agro & Infra,21.15,4.96%,21.15,"16,000",125.95,9.69,39.33,154,20.15,-61.33%,-63.88%,-74.70%,-87.63%,-87.63%,1.01,-,-,15.30%,-,63.12,83.44,68.97,,,,,,,,,,,,,,,,,,,,
Samhi Hotels,223.81,1.81%,219.95,"27,81,894","4,925.00",46.38,43.96,225.48,121.1,25.23%,58.91%,20.53%,56.07%,56.07%,4.26,-,41.92%,3.73%,-,179.67,183.95,76.33,,,,,,,,,,,,,,,,,,,,
Sammaan Capital,129.9,-0.18%,130.5,"1,11,85,961","10,760.08",7.99,28.13,183.3,97.61,8.24%,19.42%,-25.67%,-33.01%,-33.01%,0.49,-,6.50%,11.46%,25.15,119.73,139.95,56.47,,,,,,,,,,,,,,,,,,,,
Sampann Utpadan,28.64,-0.42%,29.6,"21,621",116.31,-,35.52,47.88,24.16,1.70%,-1.45%,3.69%,70.48%,70.48%,12.66,-,-,0.13%,-,29.48,31.89,44.13,,,,,,,,,,,,,,,,,,,,
Samvardhana Motherson International,155.54,-2.53%,159.41,"76,51,277","1,09,442.53",29.54,46.65,216.99,107.25,7.22%,23.96%,-6.23%,93.39%,145.72%,3.22,0.53%,10.70%,13.05%,4.75,139.61,158.57,68.45,,,,,,,,,,,,,,,,,,,,
Sanathan Textiles,444.6,-3.23%,464.8,"72,575","3,752.60",24.18,23.14,488.45,286.95,1.33%,37.95%,14.48%,14.48%,14.48%,2.15,-,-,12.04%,-,431.19,-,59.51,,,,,,,,,,,,,,,,,,,,
Sanco Industries,3.01,4.88%,2.87,"25,870",3.94,-,30.71,9.85,2.04,28.63%,7.12%,-59.38%,-73.48%,-73.00%,0.23,-,-159.00%,-80.03%,-,2.5,3.69,61.2,,,,,,,,,,,,,,,,,,,,
Sandesh,"1,168.90",1.78%,"1,154.60","1,583",884.79,11.39,22.16,"2,058.30","1,005.00",4.05%,6.70%,-9.29%,63.36%,131.97%,0.65,0.43%,9.61%,18.57%,272.16,"1,148.25","1,449.62",40.51,,,,,,,,,,,,,,,,,,,,
Sandhar Technologies,517.55,-2.01%,530.75,"1,36,699","3,115.17",22.72,46.65,697.5,315,33.32%,46.22%,-5.83%,120.28%,176.99%,2.79,0.66%,7.95%,13.82%,19.51,427.05,481.17,71.79,,,,,,,,,,,,,,,,,,,,
Sandur Manganese & Iron Ores,481,-0.62%,487,"1,62,504","7,793.88",16.65,17.48,634.8,337.2,-8.17%,1.56%,-13.05%,80.71%,80.71%,3,0.47%,14.02%,15.00%,21.24,477.18,454.56,44.43,,,,,,,,,,,,,,,,,,,,
Sangam,420.8,-0.13%,423.4,"12,586","2,114.38",57.86,21.41,498.4,293.15,1.77%,25.52%,0.35%,54.85%,791.53%,2.1,-,14.78%,7.52%,9.38,414.5,400,53.17,,,,,,,,,,,,,,,,,,,,
Sangani Hospitals,72.7,4.91%,67.9,"9,000",100.16,36.86,53.31,81,35.2,3.86%,28.67%,56.34%,73.72%,73.72%,2.65,-,-,10.71%,-,65.92,59.6,48.27,,,,,,,,,,,,,,,,,,,,
Sanghi Industries,60.81,-1.30%,61.31,"1,80,361","1,570.88",-,54.95,112.62,50.58,0.41%,11.97%,-35.21%,71.54%,192.36%,2.6,-,-40.40%,-7.22%,-,61.33,69.26,53.17,,,,,,,,,,,,,,,,,,,,
Sanghvi Movers,291.9,-1.67%,299.5,"7,28,692","2,527.15",16.41,35.52,602.5,206,3.04%,29.33%,-47.70%,173.57%,902.06%,2.25,0.67%,13.31%,16.86%,40.23,286.08,319.18,49.9,,,,,,,,,,,,,,,,,,,,
Sanginita Chemicals,10.55,-0.09%,10.9,"14,668",27.33,44,36.4,20.39,8.46,5.61%,5.61%,-42.22%,-46.72%,-86.09%,0.49,-,-,8.39%,-,10.72,13.65,45.68,,,,,,,,,,,,,,,,,,,,
Sanofi,"6,177.00",0.20%,"6,185.00","4,840","14,226.02",37.36,62.13,"10,229.40","4,902.00",5.53%,11.19%,-38.68%,-6.71%,-22.37%,16.49,1.90%,59.39%,48.50%,213.31,"6,115.16","6,167.65",52.73,,,,,,,,,,,,,,,,,,,,
Sanofi Consumer Healthcare,"5,115.00",-0.55%,"5,200.00","1,530","11,780.16",63.23,62.13,"5,520.00","4,211.55",4.28%,4.68%,4.31%,4.31%,4.31%,43.41,1.07%,-,83.37%,-,"4,984.49",-,48.3,,,,,,,,,,,,,,,,,,,,
Sansera Engineering,"1,329.20",-3.44%,"1,375.00","69,345","8,230.65",39.61,46.65,"1,758.30",972.2,15.56%,15.56%,10.41%,95.23%,62.38%,3.1,0.24%,12.55%,18.32%,35.3,"1,195.79","1,367.96",70.67,,,,,,,,,,,,,,,,,,,,
Sanstar,92.92,1.47%,91.9,"8,75,449","1,693.41",25.27,35.52,158.8,80,3.72%,3.57%,-19.25%,-19.25%,-19.25%,2.71,-,26.31%,31.75%,3.62,92.31,111.45,49.1,,,,,,,,,,,,,,,,,,,,
Sanwaria Consumer,0.38,-,0.39,"4,27,248",27.97,-,39.33,0.6,0.32,15.15%,-5.00%,-9.52%,-36.67%,-36.67%,-0.06,-,0.96%,1.13%,-,0.37,0.44,54.23,,,,,,,,,,,,,,,,,,,,
Sapphire Foods,320,0.93%,320.2,"1,19,985","10,270.09",337.39,43.96,401,275.8,4.47%,1.67%,6.97%,64.27%,32.06%,7.29,-,3.88%,7.13%,5.71,313.41,322.52,50.61,,,,,,,,,,,,,,,,,,,,
SAR Televenture,244.6,-1.13%,248,"15,000","1,152.25",24.84,25.73,413.7,188,0.99%,15.57%,-3.55%,121.86%,121.86%,1.37,-,21.81%,6.48%,4.22,257.76,282.24,50.49,,,,,,,,,,,,,,,,,,,,
Saraswati Saree Depot,101.78,-3.85%,106,"37,917",403.05,14.17,35.81,213.88,80.1,15.04%,9.28%,-50.03%,-50.03%,-50.03%,2.48,-,-,64.46%,-,91.88,120.39,62.98,,,,,,,,,,,,,,,,,,,,
Sarda Energy & Minerals,447.15,-1.05%,451.9,"3,31,653","15,756.73",22.77,32.88,563.45,224.5,0.96%,-16.96%,95.47%,426.37%,2452.23%,2.54,0.33%,17.24%,15.24%,15.69,462.51,455.71,51.87,,,,,,,,,,,,,,,,,,,,
Saregama India,543.65,-0.79%,548.2,"1,37,951","10,482.09",52.73,22.16,688.9,417.4,0.12%,13.50%,-1.17%,39.88%,1269.40%,7.18,0.82%,13.42%,15.78%,9.9,540.84,520.92,54.52,,,,,,,,,,,,,,,,,,,,
Sarla Performance Fibers,116,1.88%,113.9,"81,685",968.63,15.14,21.41,132.3,68.7,15.13%,53.78%,17.78%,150.00%,568.59%,1.97,2.60%,-,16.75%,-,100.49,94.13,63.19,,,,,,,,,,,,,,,,,,,,
Saroja Pharma Industries,39.15,-,-,-,15.74,15.23,36.4,70.75,35.6,-8.95%,-7.99%,-10.72%,-42.64%,-42.64%,1,-,20.85%,15.36%,2.18,43.8,47.68,42.9,,,,,,,,,,,,,,,,,,,,
Sarthak Metals,124,-1.75%,127.4,"17,163",169.75,41.74,32.88,214.79,97.5,4.61%,-1.39%,-40.42%,30.73%,20.74%,1.43,0.40%,11.91%,16.83%,7.58,121.31,151.65,59.26,,,,,,,,,,,,,,,,,,,,
Sarveshwar Foods,7.48,-1.58%,7.66,"24,01,208",732.15,28.26,39.33,12.28,5.62,12.82%,7.63%,-16.05%,329.89%,1868.42%,2.45,-,3.70%,17.92%,0.17,6.91,8.33,55.26,,,,,,,,,,,,,,,,,,,,
Sasken Technologies,"1,469.30",-0.01%,"1,484.10","14,021","2,221.81",44.22,41.34,"2,399.80","1,276.00",-1.91%,1.12%,-5.25%,90.94%,237.00%,2.82,1.70%,10.04%,11.73%,47.2,"1,491.25","1,718.26",47.3,,,,,,,,,,,,,,,,,,,,
Sastasundar Ventures,282.95,-0.79%,288.85,"7,072",900.08,9.55,32.57,381.7,205,7.89%,19.54%,-19.66%,-5.29%,258.39%,1.36,-,-10.01%,-2.75%,11.87,260.65,286.84,61.38,,,,,,,,,,,,,,,,,,,,
Sat Industries,89.5,-2.64%,92.85,"1,81,136","1,012.11",19.5,32.88,151.5,72.14,8.72%,2.93%,-2.49%,50.04%,50.04%,1.48,-,38.05%,46.13%,18.24,84.25,105.7,58.65,,,,,,,,,,,,,,,,,,,,
Sat Kartar Shopping,216,-2.06%,225,"2,12,000",340.09,35.4,47.58,241.95,130.2,42.57%,53.74%,33.70%,33.70%,33.70%,6.74,0.32%,-,91.55%,-,159.63,-,59.77,,,,,,,,,,,,,,,,,,,,
Sathlokhar Synergys E&C Global,426.7,-1.00%,428.25,"16,400","1,029.97",24.32,27.46,695.45,222.95,-0.34%,4.51%,72.75%,72.75%,72.75%,6.03,-,-,86.92%,-,460.7,447.73,49.09,,,,,,,,,,,,,,,,,,,,
Sati Poly Plast,85.45,-2.01%,85.45,"1,000",42.27,2.91,24.63,268.7,68.1,0.95%,-8.12%,-67.05%,-67.05%,-67.05%,2.67,-,-,22.10%,-,84.49,165.13,48.33,,,,,,,,,,,,,,,,,,,,
Satia Industries,82.7,-2.90%,85.71,"1,20,242",827,7.17,28.98,143.49,64.4,14.31%,17.56%,-28.73%,-30.88%,5.22%,0.81,-,26.21%,24.60%,17.81,74.82,92.37,66.2,,,,,,,,,,,,,,,,,,,,
Satin Creditcare,163.78,-1.20%,166.6,"2,23,493","1,809.29",9.83,32.57,248,131.8,-2.59%,14.35%,-30.90%,55.91%,115.33%,0.72,-,18.16%,15.35%,41.04,159.88,163.58,60.28,,,,,,,,,,,,,,,,,,,,
Saurashtra Cement,90.38,-1.36%,92.9,"46,403","1,004.90",401.09,54.95,148.86,73.73,0.02%,19.08%,-32.56%,-22.85%,-22.85%,1.08,-,6.10%,9.27%,5.69,88.81,102.77,54.76,,,,,,,,,,,,,,,,,,,,
Savita Oil Technologies,424,-2.77%,436,"27,755","2,906.96",26.68,25.39,655,343.25,13.93%,10.89%,-17.32%,94.10%,216.99%,1.82,0.91%,15.58%,18.42%,26.77,390.05,479.67,72.41,,,,,,,,,,,,,,,,,,,,
SBC Exports,14.64,-0.54%,14.71,"10,43,373",697.14,52.64,35.08,25.27,10.95,9.25%,18.35%,-24.65%,515.13%,674.60%,12.62,-,19.67%,26.86%,0.43,13.87,16.81,58.01,,,,,,,,,,,,,,,,,,,,
SBFC Finance,111.42,-0.92%,112.4,"12,17,428","12,100.20",35.44,32.57,117,77.61,10.62%,33.10%,31.30%,20.85%,20.85%,3.83,-,8.53%,9.83%,2.5,102.58,90.63,66.05,,,,,,,,,,,,,,,,,,,,
SBI Cards,"1,004.00",1.21%,992,"7,84,531","95,515.94",49.26,32.57,"1,027.25",659.8,11.79%,20.19%,39.94%,35.67%,70.04%,6.85,0.25%,19.93%,23.14%,25.33,900.45,792.65,70.56,,,,,,,,,,,,,,,,,,,,
Schaeffler India,"4,193.10",0.11%,"4,187.00","24,924","65,539.69",67.43,32.26,"4,930.20","2,823.00",12.37%,26.73%,-4.79%,92.24%,491.80%,12.27,0.67%,18.71%,23.77%,58.28,"3,672.31","3,563.14",64.12,,,,,,,,,,,,,,,,,,,,
Schloss Bangalore,412.65,-1.06%,417.75,"2,03,943","13,780.77",289.62,43.96,439.9,405,-5.26%,-5.26%,-5.26%,-5.26%,-5.26%,2.21,-,-,7.24%,-,-,-,-,,,,,,,,,,,,,,,,,,,,
Schneider Electric Infra,749.65,-2.35%,768,"2,12,400","17,924.43",72.17,44.35,980,540,23.24%,24.02%,-6.99%,626.41%,710.87%,32.67,-,58.08%,33.32%,7.9,653.76,724.82,67.93,,,,,,,,,,,,,,,,,,,,
SCI Land & Assets,54.25,-2.88%,56,"7,69,738","2,526.96",51.15,35.52,108.55,42.85,14.33%,21.99%,-22.67%,22.18%,22.18%,0.87,0.98%,-,1.71%,0.97,50.14,60.18,65.84,,,,,,,,,,,,,,,,,,,,
Scoda Tubes,186.11,5.00%,186,"15,22,354","1,114.96",58.15,32.88,177.25,135.1,26.61%,26.61%,26.61%,26.61%,26.61%,3.25,-,-,36.80%,-,-,-,-,,,,,,,,,,,,,,,,,,,,
SD Retail,140.9,-0.07%,141,"2,000",263.8,-,35.08,215,86.35,10.51%,44.81%,-6.63%,-6.63%,-6.63%,-,-,-,31.20%,-,123.68,-,61.5,,,,,,,,,,,,,,,,,,,,
Seamec,863.65,-0.97%,876.5,"12,008","2,195.83",26.97,35.52,"1,669.95",780.5,2.82%,-9.03%,-21.67%,-12.24%,130.21%,2.2,-,13.22%,12.09%,53.39,932.23,"1,129.31",41.08,,,,,,,,,,,,,,,,,,,,
Secmark Consultancy,158.5,0.67%,161.92,"4,581",165.01,39.31,41.34,174.63,75,24.96%,83.73%,50.24%,68.35%,68.35%,8.22,-,-,-13.19%,-,125.3,108.56,64.32,,,,,,,,,,,,,,,,,,,,
SecureKloud Technologies,24,0.17%,23.05,"15,669",80.19,-,41.34,44.15,16.35,-1.72%,14.45%,-36.09%,-69.23%,-4.95%,3.3,-,-,-347.04%,-,25.26,30.24,46.05,,,,,,,,,,,,,,,,,,,,
Sejal Glass,504,4.29%,498.8,"2,958",509.04,45.16,28.62,678.95,304.15,27.55%,33.12%,57.35%,123.31%,123.31%,20.93,-,-,9.36%,-,422.76,460.92,64.25,,,,,,,,,,,,,,,,,,,,
SEL Manufacturing,36.18,-2.43%,36.5,"13,953",119.88,-,23.14,89.21,25.5,0.95%,20.40%,-44.87%,-96.47%,630.91%,-2.17,-,-,-17.48%,-,36.24,42.4,47.52,,,,,,,,,,,,,,,,,,,,
Selan Exploration Technology,713,1.56%,717,"2,73,736","1,083.76",14.43,21.68,"1,078.25",475.85,34.63%,37.04%,13.31%,265.17%,615.50%,2.27,-,8.57%,10.28%,30.19,560.49,734.16,78.79,,,,,,,,,,,,,,,,,,,,
Semac Consultants,414,3.23%,400.25,208,129.06,-,27.97,649.95,270,15.69%,27.21%,-28.82%,-13.37%,61.88%,1.67,-,16.40%,-34.54%,-,353.26,377.28,71.78,,,,,,,,,,,,,,,,,,,,
Senco Gold,355.55,-1.00%,360.4,"2,68,962","5,819.68",36.93,39.14,772,227.4,1.24%,35.11%,-25.39%,75.45%,75.45%,2.98,0.28%,16.76%,22.20%,26.35,349.15,482.57,53.11,,,,,,,,,,,,,,,,,,,,
Senores Pharmaceuticals,547.85,1.06%,547,"3,92,956","2,523.05",42.73,47.58,665,435.25,7.30%,-4.91%,-1.65%,-1.65%,-1.65%,3.18,-,-,9.19%,-,525.68,-,59.55,,,,,,,,,,,,,,,,,,,,
SEPC,14.16,2.91%,15,"5,40,93,828","2,214.14",76.56,27.97,31.54,11.19,4.42%,-2.07%,-29.62%,89.05%,271.65%,1.42,-,-0.45%,4.19%,0.15,13.91,19.29,39.62,,,,,,,,,,,,,,,,,,,,
Sequent Scientific,196.29,-1.78%,200.8,"7,96,357","4,913.18",224.44,43.06,240.7,116.4,16.00%,38.89%,57.46%,94.44%,130.39%,7.1,-,-,-0.72%,-,162.56,173.56,59.13,,,,,,,,,,,,,,,,,,,,
Service Care,62,-2.75%,59.1,"18,000",82.64,42.22,35.52,101,52,1.56%,-3.13%,10.71%,-8.22%,-8.22%,1.81,0.78%,34.23%,13.14%,3.79,60.83,72.18,49.21,,,,,,,,,,,,,,,,,,,,
Servotech Renewable  Power,151.73,-4.89%,159.53,"13,17,617","3,382.75",109.27,44.35,205.4,83.01,20.81%,30.50%,81.26%,1852.77%,10815.83%,15.15,0.03%,13.47%,11.89%,0.54,128.77,150.53,70.13,,,,,,,,,,,,,,,,,,,,
Seshasayee Paper & Boards,284.95,-0.73%,290.2,"7,227","1,797.13",16.56,28.98,373.45,256.25,5.30%,6.27%,-14.56%,64.28%,58.75%,0.9,0.83%,14.17%,6.53%,37.42,275.47,300.79,51.62,,,,,,,,,,,,,,,,,,,,
Setco Automotive,17.54,-2.01%,17.54,"15,136",234.63,-,46.65,21.68,9.36,-0.85%,0.29%,80.64%,30.90%,71.96%,-0.34,-,-,10.31%,-,18.59,15.88,43.66,,,,,,,,,,,,,,,,,,,,
Setubandhan Infrastructure,0.96,4.35%,0.92,"87,663",12.07,90,27.46,1.16,0.46,71.43%,54.84%,7.87%,-61.60%,12.94%,0.23,-,0.18%,0.77%,0.01,0.64,0.74,82.04,,,,,,,,,,,,,,,,,,,,
Seya Industries,19,2.76%,18.5,"8,660",50.48,-,36.4,38.78,12.63,10.72%,14.94%,-19.93%,-23.54%,-72.06%,0.06,-,-,-0.34%,-,17.67,23.28,55.57,,,,,,,,,,,,,,,,,,,,
SH Kelkar & Company,239.94,-2.55%,246.21,"1,86,639","3,321.27",31.61,36.4,336.25,156.61,19.98%,37.03%,18.78%,88.41%,235.35%,2.68,0.41%,10.18%,15.23%,8.23,210.71,237.9,66.75,,,,,,,,,,,,,,,,,,,,
Shah Alloys,56,0.04%,57,"8,132",110.87,-,32.88,112.99,43.3,-8.36%,16.57%,-14.78%,-28.98%,688.73%,-14.42,-,-,-80.74%,-,57.5,66.51,46.56,,,,,,,,,,,,,,,,,,,,
Shah Metacorp,3.76,19.75%,3.15,"50,89,221",223.3,19.63,32.88,7.37,2.8,18.24%,16.41%,-9.83%,35.74%,88.94%,1.13,-,-,4.70%,-,3.13,4.12,47.49,,,,,,,,,,,,,,,,,,,,
Shaily Engineering Plastics,"1,764.30",-1.09%,"1,799.70","57,615","8,107.43",88.03,30.71,"2,073.80",647.15,0.91%,-4.34%,167.06%,385.14%,337.03%,14.97,0.11%,-,15.86%,-,"1,706.23","1,403.21",50.61,,,,,,,,,,,,,,,,,,,,
Shaival Reality,30.5,-,-,-,35.3,179.41,27.46,-,-,-,-,-,-8.27%,-6.15%,2.21,-,50.62%,15.32%,2.17,26.2,-,56.67,,,,,,,,,,,,,,,,,,,,
Shakti Pumps,991.95,2.81%,970.6,"17,71,837","11,924.29",28.42,40.91,"5,124.80",425.01,16.26%,9.88%,-61.83%,1158.34%,3013.47%,9.99,0.10%,-,27.35%,-,902.34,877.36,65.2,,,,,,,,,,,,,,,,,,,,
Shalby,182.51,-1.16%,185.9,"74,388","1,971.29",318.88,53.31,325,177.45,-3.02%,-9.35%,-35.33%,66.14%,163.93%,2.01,-,7.30%,11.23%,7.22,192.06,224.65,38.47,,,,,,,,,,,,,,,,,,,,
Shalimar Paints,102.8,1.32%,101.95,"8,72,376",860.55,-,45.92,162.8,92.1,1.22%,-1.27%,-32.97%,-20.56%,73.21%,4.12,-,-10.25%,-14.32%,-,103.37,118.1,48.95,,,,,,,,,,,,,,,,,,,,
Shankar Lal Rampal Dye Chem,67.36,5.65%,64.99,"2,80,292",430.88,35.84,35.81,115,52,11.17%,11.80%,-38.98%,-38.98%,-38.98%,3.72,-,-,9.74%,-,62.3,-,51.92,,,,,,,,,,,,,,,,,,,,
Shankara Building Products,"1,036.05",1.85%,"1,025.00","7,17,151","2,512.35",31.69,35.81,"1,065.00",444.9,42.52%,93.13%,45.60%,44.41%,210.75%,2.83,0.30%,10.17%,17.66%,32.95,711.14,618.04,81.88,,,,,,,,,,,,,,,,,,,,
Shanthala FMCG Products,31.55,4.99%,31.55,"3,600",21.13,20.87,35.81,79.9,20.4,6.23%,43.41%,-50.86%,-69.53%,-69.53%,0.89,-,-,2.79%,-,25.98,45.78,56,,,,,,,,,,,,,,,,,,,,
Shanthi Gears,521.45,2.05%,513.9,"55,583","4,000.35",40.88,39.32,703,399,7.66%,18.35%,-4.29%,146.03%,492.89%,9.74,0.98%,23.82%,31.71%,11.18,489.26,516.46,64.66,,,,,,,,,,,,,,,,,,,,
Shanti Overseas,20.27,-2.03%,20.27,"6,355",22.51,-,39.33,23.87,10.03,36.50%,53.44%,25.43%,-39.49%,44.79%,2,-,-,-12.55%,-,17.02,15.88,61.69,,,,,,,,,,,,,,,,,,,,
Sharda Cropchem,823.35,0.05%,827,"6,81,985","7,428.30",24.38,40.46,886.6,421,47.09%,51.38%,93.50%,21.96%,369.28%,2.97,1.09%,1.43%,3.07%,16.38,612.61,642.36,75.26,,,,,,,,,,,,,,,,,,,,
Sharda Motor,"1,951.80",-0.90%,"1,982.00","50,022","5,602.42",18.55,46.65,"2,952.10","1,250.00",16.95%,37.26%,17.48%,160.34%,1293.35%,5.5,1.60%,27.49%,38.60%,108.03,"1,714.73","1,938.25",65.42,,,,,,,,,,,,,,,,,,,,
Share India Securities,184.83,-3.63%,192.97,"9,39,054","4,008.71",12.78,32.57,344.8,141.21,18.47%,10.95%,-39.52%,-20.90%,750.18%,1.79,0.10%,32.47%,33.34%,21.9,165.85,244.08,67.13,,,,,,,,,,,,,,,,,,,,
Sharp Chucks & Machines,84,-1.18%,81,"12,000",96.68,-,36.94,148,77,-11.30%,-25.66%,-16.29%,29.13%,29.13%,-,-,9.68%,19.90%,-,97.44,115.32,41.83,,,,,,,,,,,,,,,,,,,,
Sheela Foam,674.7,1.37%,670.05,"5,41,755","7,333.81",90.46,35.52,"1,067.00",618.75,1.98%,-4.92%,-27.40%,-51.87%,-3.01%,2.38,-,6.53%,7.71%,12.09,660.85,819.11,53.52,,,,,,,,,,,,,,,,,,,,
Sheetal Cool Products,333.3,-1.26%,341.6,"4,462",349.97,21.48,39.33,634.5,262.6,6.54%,14.18%,-43.33%,-49.20%,-49.20%,2.71,-,-,26.63%,-,325.11,335.82,56.92,,,,,,,,,,,,,,,,,,,,
Sheetal Universal,133.05,-0.71%,133.05,"12,000",152.42,16.5,39.33,138.5,54.5,23.42%,60.30%,126.28%,76.46%,76.46%,3.5,-,-,11.59%,-,106.44,79.54,73.62,,,,,,,,,,,,,,,,,,,,
Shekhawati Industries,22.6,-2.33%,22.8,"6,636",77.9,12.79,28.71,86.43,20.4,-0.48%,-5.83%,-73.85%,2558.82%,2558.82%,6.08,-,-,971.87%,-,23.25,36.41,43.21,,,,,,,,,,,,,,,,,,,,
Shemaroo Entertainment,110,-0.51%,112.44,"4,421",300.52,-,22.16,215,88.8,6.25%,14.98%,-26.17%,6.90%,61.65%,0.64,-,-,-0.17%,-,104.11,142.59,57.42,,,,,,,,,,,,,,,,,,,,
Shera Energy,153,-3.71%,159.1,"12,000",348.66,21.83,17.48,235,127,-,8.70%,-13.90%,127.34%,127.34%,2.53,-,8.46%,27.42%,5.54,151.79,175.15,53.17,,,,,,,,,,,,,,,,,,,,
Shigan Quantum Technologies,83.1,1.96%,83,"1,500",158.41,17.79,46.65,139,61.5,16.22%,3.75%,-20.10%,-2.64%,29.74%,1.69,-,-,14.21%,-,74.61,102.21,59.54,,,,,,,,,,,,,,,,,,,,
